"","peak_id","peak_name","peak_alternative_name","height_metres","climbing_status","first_ascent_year","first_ascent_country","first_ascent_expedition_id"
"51","GAN4","Ganesh IV","Pabil",7104,"Climbed",1978,"Japan, Nepal","GAN478301"
"52","GAN5","Ganesh V",NA,6770,"Climbed",1980,"Japan, Nepal","GAN580101"
"53","GAN6","Ganesh VI",NA,6908,"Climbed",2000,"Japan","GAN600101"
"54","GANC","Ganchenpo","Fluted Peak, Ganchempo",6378,"Climbed",1971,"USA","GANC71302"
"55","GAND","Gandharva Chuli","Gandharbha, Gabelhorn Peak",6248,"Climbed",2013,"Romania","GAND13101"
"56","GANG","Gangapurna",NA,7455,"Climbed",1965,"W Germany, Nepal","GANG65101"
"57","GAUR","Gaurishankar","Jomo Tseringma",7135,"Climbed",1979,"US, Nepal","GAUR79101"
"58","GHUN","Ghustang North",NA,6529,"Climbed",1962,"UK, Nepal","GHUN62301"
"59","GHUS","Ghustang South","Gurja West, Paschim Himal",6465,"Climbed",2019,"France, Canada, Switzerland, Nepal","GHUS18301"
"60","MATA","Matathumba","Matatumpa, Ghyuthumba East",5767,"Climbed",1961,"UK, Nepal","MATA61101"
"61","GHYM","Ghyuthumba Main","Gutumpa, Pasang Peak",5806,"Climbed",1953,"Austria, Nepal, India","GHYM53301"
"62","GIME","Gimmigela Chuli East","Twins",7007,"Climbed",1993,"Japan, Nepal","GIME93301"
"63","GIMM","Gimmigela Chuli","Twins",7350,"Climbed",1994,"Japan, Nepal","GIMM94301"
"64","GLAC","Glacier Dome","Tarke Kang, Tarke Khang",7168,"Climbed",1964,"Japan, Nepal","GLAC64301"
"65","GURJ","Gurja Himal",NA,7193,"Climbed",1969,"Japan, Nepal","GURJ69301"
"66","GURK","Gurkarpo Ri",NA,6889,"Climbed",2007,"France","GURK07301"
"67","GYAC","Gyachung Kang",NA,7861,"Climbed",1964,"Japan, Nepal","GYAC64101"
"68","GYAJ","Gyajikang","Gyaji Khang",7074,"Climbed",1994,"Japan, Nepal","GYAJ94301"
"69","LEOE","Leonpo Gang East","Gyalgen Peak",6733,"Climbed",1955,"UK, Nepal","LEOE55101"
"70","HIME","Himalchuli East","Himalchuli Main",7893,"Climbed",1960,"Japan","HIME60101"
"71","HIML","Himlung Himal",NA,7126,"Climbed",1992,"Japan, Nepal","HIML92301"
"72","HIMN","Himalchuli North",NA,7331,"Climbed",1985,"S Korea, Nepal","HIMN85302"
"73","RANI","Rani Peak","Lidanda Peak, Himalchuli Northeast",6693,"Climbed",1970,"Netherlands, Nepal","RANI70101"
"74","HIMW","Himalchuli West",NA,7540,"Climbed",1978,"Japan","HIMW78101"
"75","HIUP","Hiunchuli","Patal Hiunchuli",6434,"Climbed",1971,"USA","HIUP71301"
"76","HNKU","Hongku Chuli","Hunku Chuli, Pyramid Peak",6833,"Unclimbed",NA,NA,NA
"77","HONG","Hongde","Hangde, Hongde Himal",6556,"Climbed",1962,"Japan, Nepal","HONG62101"
"78","IMJA","Imjatse","Island Peak",6165,"Climbed",1956,"Switzerland, Nepal","IMJA56101"
"79","JAGD","Jagdula",NA,5761,"Climbed",2013,"France","JAGD13101"
"80","JANU","Jannu","Khumbhakarna",7711,"Climbed",1962,"France, Nepal","JANU62101"
"81","JETH","Jethi Bahurani","Jettiborani, Jutibofurani",6850,"Climbed",1978,"Japan","JETH78101"
"82","JONG","Jongsang","Jonsong, Jhinsang",7462,"Climbed",1930,"Germany, Austria","JONG30101"
"83","JUNC","Junction Peak",NA,7133,"Unclimbed",NA,NA,NA
"84","KABD","Kabru Dome",NA,6600,"Climbed",1982,"India","KABD82301"
"85","KABN","Kabru North",NA,7338,"Climbed",1935,"UK","KABN35301"
"86","KAG1","Kagmara I",NA,5978,"Climbed",1962,"UK, Nepal","KAG162101"
"87","KAN1","Kande Hiunchuli North  I",NA,6521,"Unclimbed",NA,NA,NA
"88","KAN2","Kande Hiunchuli North  II",NA,6471,"Climbed",1980,"Switzerland","KAN280101"
"89","KANB","Kangbachen","Kambachen",7902,"Climbed",1974,"Poland","KANB74101"
"90","KANC","Kangchenjunga Central",NA,8473,"Climbed",1978,"Poland","KANC78102"
"91","KAND","Kande Hiunchuli",NA,6627,"Climbed",1972,"Japan","KAND72301"
"92","KANG","Kangchenjunga",NA,8586,"Climbed",1955,"UK","KANG55101"
"93","KANS","Kangchenjunga South",NA,8476,"Climbed",1978,"Poland","KANS78101"
